#,Sentence,
1,Type 1 diabetes is an autoimmune condition causing absolute insulin deficiency.,
2,Type 2 diabetes involves insulin resistance and relative insulin insufficiency.,
3,Gestational diabetes develops in pregnancy and usually resolves after delivery.,
4,A fasting plasma glucose ≥ 126 mg/dL on two occasions confirms diabete,
5,Hypoglycaemia is defined as blood glucose < 70 mg/dL and needs rapid glucose intake.,
6,First-aid for mild hypoglycaemia: give 15 g of fast-acting carbohydrate such as glucose tablets.,
7,"For severe hypoglycaemia with unconsciousness, give intramuscular glucagon 1 mg if available.",
8,Metformin is first-line pharmacotherapy for most adults with Type 2 diabetes.,
9,Insulin aspart starts to lower glucose within 15 minutes of subcutaneous injection.,
10,Long-acting insulin glargine provides basal coverage for approximately 24 hours.,
11,"Diabetic ketoacidosis presents with high blood glucose, ketones, and metabolic acidosis.",
12,First-aid priority in ketoacidosis is rapid transfer to emergency care do **not** delay.,
13,Foot ulcers in diabetics require daily inspection and early antibiotic therapy if infected.,
14,HbA1c reflects average glucose over roughly three months target < 7 % for most adults.,
15,Regular aerobic exercise improves insulin sensitivity in Type 2 diabetes.,
16,ACE inhibitors protect kidney function in diabetic nephropathy.,
17,Retinopathy screening is advised annually for diabetic patients.,
18,SGLT2 inhibitors reduce cardiovascular and renal events in high-risk diabetics.,
19,Hyperosmolar hyperglycaemic state lacks ketones but causes extreme dehydration.,
20,Ingesting high-sugar drinks in hyperosmolar state can worsen dehydration.,
21,Sudden chest pain radiating to the left arm may indicate myocardial infarction.,
22,Call emergency services immediately at the first suspicion of heart attack.,
23,Chewable aspirin 160–325 mg is recommended if no contraindication to antiplatelet,
24,Sublingual nitroglycerin can relieve angina repeat every five minutes up to three doses.,
25,Do **not** give nitroglycerin if systolic blood pressure < 90 mmHg.,
26,Ventricular fibrillation is a shockable rhythm requiring early defibrillation.,
27,High-quality CPR compressions: depth 5–6 cm at 100–120 compressions per min,
28,Automated external defibrillators give voice prompts and will not shock without need.,
29,Beta-blockers decrease myocardial oxygen demand post-infarction.,
30,Heart-failure first aid focuses on sitting the patient upright and giving oxygen if available.,
31,Edema and sudden weight gain can signal worsening heart failure.,
32,ACE inhibitors and ARBs improve survival in systolic heart failure.,
33,Atrial fibrillation raises stroke risk oral anticoagulation is often indicated.,
34,Clopidogrel is an alternative antiplatelet for aspirin-intolerant patients.,
35,Statins lower LDL cholesterol and reduce cardiovascular events.,
36,Left-sided heart failure commonly causes pulmonary congestion and dyspnoea.,
37,Right-sided heart failure leads to peripheral edema and jugular venous distension.,
38,Hypertension is a major modifiable risk factor for coronary artery disease.,
39,Cardiac enzymes such as troponin I rise within 3–4 hours of myocardial infarctio,
40,Post-MI rehabilitation includes gradual exercise under supervision.,
41,"Kidneys regulate fluid balance, electrolyte levels, and acid-base status.",
42,"Acute kidney injury (AKI) is often triggered by dehydration, infection, or nephrotoxic drugs.",
43,A rise in serum creatinine by ≥ 0.3 mg/dL within 48 hours indicates AK,
44,First-aid for suspected AKI: stop nephrotoxic medications and ensure adequate hydration.,
45,Chronic kidney disease (CKD) is staged by estimated GFR Stage 5 is < 15 mL/min/1.73 m²,
46,Uncontrolled hypertension accelerates CKD progression.,
47,Dietary sodium restriction (< 2 g/day) lowers fluid overload in CKD.,
48,Hyperkalaemia (> 5.5 mmol/L) in CKD may require calcium gluconate and insulin–glucose infusio,
49,Erythropoiesis-stimulating agents treat anaemia of CKD when iron is adequate.,
50,ACE inhibitors slow CKD progression but can transiently raise creatinine.,
51,Peritoneal dialysis uses the peritoneal membrane for solute exchange.,
52,Haemodialysis requires vascular access and anticoagulation with heparin.,
53,Renal transplant offers best long-term survival for ESRD patients.,
54,NSAIDs can precipitate AKI by inhibiting renal prostaglandin synthesis.,
55,Proteinuria > 1 g/day is a marker of glomerular disease.,
56,Phosphate binders reduce hyperphosphataemia in CKD.,
57,CKD patients should receive annual influenza vaccination.,
58,Diabetic nephropathy is the leading cause of ESRD worldwide.,
59,Contrast-induced nephropathy risk is lowered by IV hydration pre- and post-procedure.,
60,Kidney-friendly diet limits potassium-rich foods such as bananas and spinach.,
